district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27
永和區,房地(土地+建物),新北市永和區福和路211~240號,8.33,商,,,1080510,土地6建物1車位0,三層，陽台,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,671130,57.07,2,2,1,有,有,7700000,134922,,0,0,含增建或未登記建物。;,RPQPMLRKOHOFFHF86CA
永和區,房地(土地+建物),新北市永和區文化路91~120號,17.4,住,,,1080427,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690118,68.18,3,2,2,有,無,8800000,129070,,0,0,,RPRNMLPKOHOFFHF56CA
中和區,房地(土地+建物),新北市中和區捷運路1~30號,35.97,其他,,,1080428,土地1建物1車位0,十四層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1000415,188.62,4,2,2,有,有,27300000,144735,,0,0,含增建或未登記建物。;,RPWNMLOKOHOFFHF96CA
永和區,房地(土地+建物),新北市永和區中山路一段17巷4弄1~30號,5.4,商,,,1080512,土地1建物1車位0,四層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,820303,54.46,1,1,1,有,有,7140000,131105,,0,0,含增建或未登記建物。;,RPPRMLNKOHOFFHF56CA
永和區,房地(土地+建物),新北市永和區永貞路331~360號,21.69,商,,,1080509,土地2建物1車位0,六層，陽台,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,680228,124.45,3,2,2,有,無,14500000,116513,,0,0,,RPQQMLNKOHOFFHF56CA
中和區,房地(土地+建物)+車位,新北市中和區中山路三段136巷61~90號,10.81,工,,,1080510,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,970930,98.88,2,2,1,有,有,11960000,120955,塔式車位,0,0,含增建或未登記建物。本案車位面積無法拆算。,RPWNMLNKOHOFFHF86CA
中和區,房地(土地+建物),新北市中和區華新街232巷15弄1~30號,38.3,住,,,1080422,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,800308,97.5,3,2,2,有,無,7200000,73846,,0,0,,RPPPMLNKOHOFFHF98CA
中和區,房地(土地+建物),新北市中和區興南路一段93巷89弄1~30號,18.61,住,,,1080328,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其他登記事項,見其他登記事項,1070314,66.48,2,1,1,有,無,8880000,133574,,0,0,含增建或未登記建物。;,RPSPMLNKOHOFFHF66CA
永和區,房地(土地+建物)+車位,新北市永和區中山路一段181~210號,11.34,商,,,1080426,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,840127,134.16,3,2,2,有,有,16600000,123733,其他,20.48,0,,RPXPMLMKOHOFFHF07CA
中和區,房地(土地+建物)+車位,新北市中和區圓通路241~270號,100.96,其他,,,1080328,土地4建物1車位1,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,980904,152.4,2,2,2,有,有,14200000,93182,坡道機械,31.27,0,,RPPNMLNKOHOFFHF78CA
